"structure_id","item_cd","market_group","ctgry_cd","pooling_group","n_observations","analysis_date","hierarchy_level","parent_group","created_at"
1,111,"11",100,item_111,83,20260129,item,category_100,"2026-01-29 10:22:21"
2,112,"11",100,item_112,85,20260129,item,category_100,"2026-01-29 10:22:21"
3,141,"11",100,item_141,81,20260129,item,category_100,"2026-01-29 10:22:21"
4,142,"11",100,item_142,50,20260129,item,category_100,"2026-01-29 10:22:21"
5,143,"11",100,item_143,65,20260129,item,category_100,"2026-01-29 10:22:21"
6,144,"11",100,item_144,21,20260129,item,category_100,"2026-01-29 10:22:21"
7,151,"11",100,item_151,85,20260129,item,category_100,"2026-01-29 10:22:21"
8,152,"11",100,item_152,64,20260129,item,category_100,"2026-01-29 10:22:21"
9,211,"11",200,item_211,84,20260129,item,category_200,"2026-01-29 10:22:21"
10,212,"11",200,item_212,83,20260129,item,category_200,"2026-01-29 10:22:21"
11,213,"11",200,item_213,85,20260129,item,category_200,"2026-01-29 10:22:21"
12,214,"11",200,item_214,85,20260129,item,category_200,"2026-01-29 10:22:21"
13,215,"11",200,item_215,69,20260129,item,category_200,"2026-01-29 10:22:21"
14,216,"11",200,category_200,10,20260129,category,global,"2026-01-29 10:22:21"
15,221,"11",200,item_221,63,20260129,item,category_200,"2026-01-29 10:22:21"
16,223,"11",200,item_223,85,20260129,item,category_200,"2026-01-29 10:22:21"
17,224,"11",200,item_224,85,20260129,item,category_200,"2026-01-29 10:22:21"
18,225,"11",200,item_225,85,20260129,item,category_200,"2026-01-29 10:22:21"
19,226,"11",200,item_226,78,20260129,item,category_200,"2026-01-29 10:22:21"
20,231,"11",200,item_231,85,20260129,item,category_200,"2026-01-29 10:22:21"
21,232,"11",200,item_232,85,20260129,item,category_200,"2026-01-29 10:22:21"
22,233,"11",200,item_233,53,20260129,item,category_200,"2026-01-29 10:22:21"
23,241,"11",200,item_241,21,20260129,item,category_200,"2026-01-29 10:22:21"
24,242,"11",200,item_242,85,20260129,item,category_200,"2026-01-29 10:22:21"
25,243,"11",200,item_243,80,20260129,item,category_200,"2026-01-29 10:22:21"
26,244,"11",200,item_244,35,20260129,item,category_200,"2026-01-29 10:22:21"
27,245,"11",200,item_245,85,20260129,item,category_200,"2026-01-29 10:22:21"
28,246,"11",200,item_246,85,20260129,item,category_200,"2026-01-29 10:22:21"
29,247,"11",200,item_247,83,20260129,item,category_200,"2026-01-29 10:22:21"
30,248,"11",200,item_248,32,20260129,item,category_200,"2026-01-29 10:22:21"
31,252,"11",200,item_252,84,20260129,item,category_200,"2026-01-29 10:22:21"
32,253,"11",200,item_253,85,20260129,item,category_200,"2026-01-29 10:22:21"
33,255,"11",200,item_255,77,20260129,item,category_200,"2026-01-29 10:22:21"
34,256,"11",200,item_256,85,20260129,item,category_200,"2026-01-29 10:22:21"
35,257,"11",200,item_257,78,20260129,item,category_200,"2026-01-29 10:22:21"
36,258,"11",200,item_258,85,20260129,item,category_200,"2026-01-29 10:22:21"
37,279,"11",200,item_279,84,20260129,item,category_200,"2026-01-29 10:22:21"
38,280,"11",200,item_280,58,20260129,item,category_200,"2026-01-29 10:22:21"
39,312,"11",300,item_312,56,20260129,item,category_300,"2026-01-29 10:22:21"
40,314,"11",300,item_314,49,20260129,item,category_300,"2026-01-29 10:22:21"
41,315,"11",300,item_315,85,20260129,item,category_300,"2026-01-29 10:22:21"
42,316,"11",300,item_316,85,20260129,item,category_300,"2026-01-29 10:22:21"
43,317,"11",300,item_317,85,20260129,item,category_300,"2026-01-29 10:22:21"
44,318,"11",300,item_318,44,20260129,item,category_300,"2026-01-29 10:22:21"
45,319,"11",300,item_319,50,20260129,item,category_300,"2026-01-29 10:22:21"
46,411,"11",400,item_411,85,20260129,item,category_400,"2026-01-29 10:22:21"
47,412,"11",400,item_412,76,20260129,item,category_400,"2026-01-29 10:22:21"
48,414,"11",400,item_414,84,20260129,item,category_400,"2026-01-29 10:22:21"
49,415,"11",400,item_415,84,20260129,item,category_400,"2026-01-29 10:22:21"
50,416,"11",400,item_416,84,20260129,item,category_400,"2026-01-29 10:22:21"
51,418,"11",400,item_418,78,20260129,item,category_400,"2026-01-29 10:22:21"
52,419,"11",400,item_419,44,20260129,item,category_400,"2026-01-29 10:22:21"
53,420,"11",400,item_420,76,20260129,item,category_400,"2026-01-29 10:22:21"
54,421,"11",400,category_400,10,20260129,category,global,"2026-01-29 10:22:21"
55,422,"11",200,item_422,85,20260129,item,category_200,"2026-01-29 10:22:21"
56,424,"11",400,item_424,77,20260129,item,category_400,"2026-01-29 10:22:21"
57,425,"11",400,item_425,68,20260129,item,category_400,"2026-01-29 10:22:21"
58,428,"11",400,item_428,70,20260129,item,category_400,"2026-01-29 10:22:21"
59,430,"11",400,item_430,34,20260129,item,category_400,"2026-01-29 10:22:21"
60,611,"11",600,item_611,81,20260129,item,category_600,"2026-01-29 10:22:21"
61,612,"11",600,item_612,24,20260129,item,category_600,"2026-01-29 10:22:21"
62,613,"11",600,item_613,75,20260129,item,category_600,"2026-01-29 10:22:21"
63,614,"11",600,item_614,29,20260129,item,category_600,"2026-01-29 10:22:21"
64,615,"11",600,item_615,75,20260129,item,category_600,"2026-01-29 10:22:21"
65,616,"11",600,global,7,20260129,global,none,"2026-01-29 10:22:21"
66,619,"11",600,item_619,86,20260129,item,category_600,"2026-01-29 10:22:21"
67,638,"11",600,item_638,85,20260129,item,category_600,"2026-01-29 10:22:21"
68,639,"11",600,item_639,35,20260129,item,category_600,"2026-01-29 10:22:21"
69,640,"11",600,item_640,35,20260129,item,category_600,"2026-01-29 10:22:21"
70,641,"11",600,item_641,86,20260129,item,category_600,"2026-01-29 10:22:21"
71,642,"11",600,item_642,86,20260129,item,category_600,"2026-01-29 10:22:21"
72,644,"11",600,item_644,84,20260129,item,category_600,"2026-01-29 10:22:21"
73,649,"11",600,item_649,28,20260129,item,category_600,"2026-01-29 10:22:21"
74,650,"11",600,item_650,50,20260129,item,category_600,"2026-01-29 10:22:21"
75,651,"11",600,item_651,51,20260129,item,category_600,"2026-01-29 10:22:21"
76,652,"11",600,item_652,50,20260129,item,category_600,"2026-01-29 10:22:21"
77,653,"11",600,item_653,69,20260129,item,category_600,"2026-01-29 10:22:21"
78,654,"11",600,item_654,78,20260129,item,category_600,"2026-01-29 10:22:21"
79,811,"11",800,item_811,34,20260129,item,category_800,"2026-01-29 10:22:21"
80,812,"11",800,item_812,34,20260129,item,category_800,"2026-01-29 10:22:21"
81,813,"11",800,item_813,27,20260129,item,category_800,"2026-01-29 10:22:21"
82,814,"11",800,item_814,31,20260129,item,category_800,"2026-01-29 10:22:21"
83,815,"11",800,item_815,32,20260129,item,category_800,"2026-01-29 10:22:21"
84,816,"11",800,item_816,33,20260129,item,category_800,"2026-01-29 10:22:21"
85,817,"11",800,item_817,30,20260129,item,category_800,"2026-01-29 10:22:21"
86,818,"11",800,item_818,32,20260129,item,category_800,"2026-01-29 10:22:21"
87,4301,"10",500,global,1,20260129,global,none,"2026-01-29 10:22:21"
88,4304,"10",500,global,1,20260129,global,none,"2026-01-29 10:22:21"
89,4401,"10",500,global,1,20260129,global,none,"2026-01-29 10:22:21"
90,4402,"10",500,global,1,20260129,global,none,"2026-01-29 10:22:21"
91,9901,"10",500,global,1,20260129,global,none,"2026-01-29 10:22:21"
92,9903,"10",500,global,1,20260129,global,none,"2026-01-29 10:22:21"
93,9908,"10",500,global,1,20260129,global,none,"2026-01-29 10:22:21"
